Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
main_body,1.8962E-18,2.9807E-18,-0.024667,0,0,0,0.27159,0.00047029,8.7431E-20,9.2463E-22,0.00030006,2.8702E-20,0.00076993,0,0,0,0,0,0,package://spider URDF 3/meshes/main_body.STL,0.189804,0.191765,0.192941,1,0,0,0,0,0,0,package://spider URDF 3/meshes/main_body.STL,,body-1;body-2;horn-5;horn-3;horn-2;horn-6;horn-4;horn-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
L1_coxa,0.024776,0.0016341,0.0035142,0,0,0,0.14547,4.1777E-05,-5.3584E-07,5.3557E-07,2.672E-05,-4.9151E-13,2.672E-05,0,0,0,0,0,0,package://spider URDF 3/meshes/L1_coxa.STL,0.179216,0.181961,0.193333,1,0,0,0,0,0,0,package://spider URDF 3/meshes/L1_coxa.STL,,left_leg-3/servo-1;left_leg-3/coxa-1;left_leg-3/coxa-2;left_leg-3/servo-2,Origin_L1_joint1,,L1_joint1,revolute,-0.044415,0.061418,-0.023391,1.5708,0,2.0608,main_body,0,0,0,0,0,0,0,,,,,,,,
L1_femur,0.0425,0.0020723,-0.00096249,0,0,0,0.018954,6.9019E-07,9.6558E-21,-4.4469E-21,1.6508E-05,2.0444E-21,1.7168E-05,0,0,0,0,0,0,package://spider URDF 3/meshes/L1_femur.STL,0.189804,0.192157,0.192941,1,0,0,0,0,0,0,package://spider URDF 3/meshes/L1_femur.STL,,left_leg-3/horn-2;left_leg-3/femur-1;left_leg-3/horn-1,Origin_L1_joint2,,L1_joint2,revolute,0.039646,-0.001781,0.034959,-3.1416,0,0,L1_coxa,0,0,0,0,0,0,0,,,,,,,,
L1_tibia,0.017865,-0.00025918,0.013634,0,0,0,0.083453,6.3949E-05,-1.3189E-10,-6.8552E-06,6.307E-05,-1.5501E-07,1.127E-05,0,0,0,0,0,0,package://spider URDF 3/meshes/L1_tibia.STL,0.179216,0.181961,0.193333,1,0,0,0,0,0,0,package://spider URDF 3/meshes/L1_tibia.STL,,left_leg-3/servo-3;left_leg-3/tibia-1,Origin_L1_joint3,,L1_joint3,revolute,0.075094,-0.010287,0.023391,-1.5708,0,0,L1_femur,0,0,0,0,0,0,0,,,,,,,,
L2_coxa,0.024776,0.0016341,0.0035142,0,0,0,0.14547,4.1777E-05,-5.3584E-07,5.3557E-07,2.672E-05,1.006E-20,2.672E-05,0,0,0,0,0,0,package://spider URDF 3/meshes/L2_coxa.STL,0.179216,0.181961,0.193333,1,0,0,0,0,0,0,package://spider URDF 3/meshes/L2_coxa.STL,,left_leg-2/servo-1;left_leg-2/coxa-1;left_leg-2/coxa-2;left_leg-2/servo-2,Origin_L2_joint1,,L2_joint1,revolute,-0.057933,-0.010287,-0.023391,1.5708,0,-3.1416,main_body,0,0,0,0,0,0,0,,,,,,,,
L2_femur,0.0425,0.0020723,-0.00096249,0,0,0,0.018954,6.9019E-07,1.0268E-21,8.041E-21,1.6508E-05,1.635E-21,1.7168E-05,0,0,0,0,0,0,package://spider URDF 3/meshes/L2_femur.STL,0.189804,0.192157,0.192941,1,0,0,0,0,0,0,package://spider URDF 3/meshes/L2_femur.STL,,left_leg-2/horn-2;left_leg-2/femur-1;left_leg-2/horn-1,Origin_L2_joint2,,L2_joint2,revolute,0.039646,-0.001781,0.034959,3.1416,0,0,L2_coxa,0,0,0,0,0,0,0,,,,,,,,
L2_tibia,0.017865,-0.00025918,0.013634,0,0,0,0.083453,6.3949E-05,-1.3191E-10,-6.8552E-06,6.307E-05,-1.5501E-07,1.127E-05,0,0,0,0,0,0,package://spider URDF 3/meshes/L2_tibia.STL,0.179216,0.181961,0.193333,1,0,0,0,0,0,0,package://spider URDF 3/meshes/L2_tibia.STL,,left_leg-2/servo-3;left_leg-2/tibia-1,Origin_L2_joint3,,L2_joint3,revolute,0.075094,-0.010287,0.023391,-1.5708,0,0,L2_femur,0,0,0,0,0,0,0,,,,,,,,
L3_coxa,0.024776,0.0016341,0.0035142,0,0,0,0.14547,4.1777E-05,-5.3584E-07,5.3557E-07,2.672E-05,-4.5427E-13,2.672E-05,0,0,0,0,0,0,package://spider URDF 3/meshes/L3_coxa.STL,0.179216,0.181961,0.193333,1,0,0,0,0,0,0,package://spider URDF 3/meshes/L3_coxa.STL,,left_leg-4/servo-1;left_leg-4/coxa-1;left_leg-4/coxa-2;left_leg-4/servo-2,Origin_L3_joint1,,L3_joint1,revolute,-0.026262,-0.0711,-0.023391,1.5708,0,-2.0608,main_body,0,0,0,0,0,0,0,,,,,,,,
L3_femur,0.0425,0.0020723,-0.00096249,0,0,0,0.018954,6.9019E-07,1.2735E-20,5.5057E-21,1.6508E-05,1.7693E-21,1.7168E-05,0,0,0,0,0,0,package://spider URDF 3/meshes/L3_femur.STL,0.189804,0.192157,0.192941,1,0,0,0,0,0,0,package://spider URDF 3/meshes/L3_femur.STL,,left_leg-4/horn-2;left_leg-4/femur-1;left_leg-4/horn-1,Origin_L3_joint2,,L3_joint2,revolute,0.039646,-0.001781,0.034959,3.1416,0,0,L3_coxa,0,0,0,0,0,0,0,,,,,,,,
L3_tibia,0.017865,-0.00025918,0.013634,0,0,0,0.083453,6.3949E-05,-1.3193E-10,-6.8552E-06,6.307E-05,-1.5501E-07,1.127E-05,0,0,0,0,0,0,package://spider URDF 3/meshes/L3_tibia.STL,0.179216,0.181961,0.193333,1,0,0,0,0,0,0,package://spider URDF 3/meshes/L3_tibia.STL,,left_leg-4/servo-3;left_leg-4/tibia-1,Origin_L3_joint3,,L3_joint3,revolute,0.075094,-0.010287,0.023391,-1.5708,0,0,L3_femur,0,0,0,0,0,0,0,,,,,,,,
